TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TELB4;11,71;;-7,92;0,61;0,25;-53,90;-10,84;-36,72;-26,82;-9,81;27,08;-0,61;2,91;0,84;-0,40;4,75;-7,68;-3,16;-2,08;0,41;0,59;0,09;36,54;;136.860,70;19,26;-1,48;-11,25;1.391.529.582,31
TEND3;4,72;;-0,90;0,69;0,12;11,39;-13,09;-22,69;-1,56;-4,13;-2,56;1,13;0,20;0,93;-0,23;1,36;-76,27;-13,26;-16,39;0,17;0,83;0,58;12,18;;21.553.589,60;6,88;-5,25;0,00;497.722.053,42
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;10,75;2,01;105,79;31,08;17,60;57,59;22,07;17,00;81,49;13,83;0,25;0,09;17,98;39,04;-67,10;2,57;29,38;16,64;24,13;0,57;0,43;0,98;22,58;23,35;1.928.564,42;0,35;0,10;4,23;1.700.996.715,98
TGMA3;18,25;6,15;7,56;1,57;1,08;20,04;14,68;11,62;5,99;5,79;-0,17;-0,05;0,88;3,86;-2,16;2,30;20,77;14,34;16,58;0,69;0,31;1,23;4,80;8,95;3.899.192,88;11,62;2,41;0,16;1.199.932.994,70
TIET11;12,54;;4,38;2,25;0,46;74,66;61,76;49,46;3,51;7,15;3,64;2,34;2,16;1.031,49;-0,52;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;5,57;2,87;0,02;5.004.795.800,93
TIET3;3,49;;6,09;3,13;0,64;74,66;61,76;49,46;4,88;7,15;3,64;2,34;3,01;1.435,37;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIET4;3,51;;6,13;3,15;0,64;74,66;61,76;49,46;4,91;7,15;3,64;2,34;3,03;1.443,59;-0,72;1,00;51,45;10,47;13,16;0,20;0,72;0,21;-5,19;23,78;;1,11;0,57;0,03;5.004.795.800,93
TIMS3;12,56;3,96;18,20;1,20;0,54;50,51;14,68;7,76;9,62;9,66;0,07;0,01;1,41;-11,04;-0,66;0,79;6,58;2,96;10,24;0,45;0,55;0,38;5,81;6,24;101.586.580,16;10,49;0,69;-0,42;30.284.263.018,98
TKNO3;69,63;9,40;5,37;0,78;0,60;22,51;16,92;12,42;3,94;2,98;-0,67;-0,13;0,67;1,60;-1,37;2,99;14,45;11,14;15,95;0,77;0,23;0,90;19,94;;;89,81;12,98;-0,13;190.111.319,13
TKNO4;58,50;16,57;4,51;0,65;0,50;22,51;16,92;12,42;3,31;2,98;-0,67;-0,13;0,56;1,34;-1,15;2,99;14,45;11,14;15,95;0,77;0,23;0,90;19,94;;20.833,29;89,81;12,98;-0,11;190.111.319,13
